geneSet	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
KEGG_CITRATE_CYCLE_TCA_CYCLE	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_CITRATE_CYCLE_TCA_CYCLE	30	17	3.5585231736056557	4.777262693156733	3.976799334282077e-9	5.965199001423116e-8	5106;4190;5162;5160;1738;1737;3420;1431;2271;4967;6390;6391;3418;4191;8802;8803;50	FH;SUCLG1;PCK2;PDHA1;SUCLA2;CS;SDHC;IDH2;ACO2;PDHB;MDH1;IDH3B;OGDH;SDHB;MDH2;DLAT;DLD
KEGG_RNA_DEGRADATION	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RNA_DEGRADATION	54	23	6.405341712490181	3.5907530046602893	1.0310980069760944e-8	1.4177597595921299e-7	2023;87178;23658;10200;54512;23404;56915;11157;51010;10438;11340;27257;51690;51691;9125;25804;25904;27258;57472;57819;5393;5394;28960	LSM5;CNOT6;LSM4;ENO1;EXOSC8;LSM3;EXOSC5;LSM2;LSM1;LSM7;EXOSC4;CNOT9;LSM6;CNOT10;DCPS;C1D;EXOSC2;EXOSC3;MPHOSPH6;EXOSC9;PNPT1;EXOSC10;LSM8
KEGG_FATTY_ACID_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FATTY_ACID_METABOLISM	42	19	4.981932443047918	3.8137811415957112	6.198758706332796e-8	7.867655281114703e-7	223;8310;128;35;34;39;37;38;10449;3033;3032;3030;1892;51703;30;1376;10455;1632;2182	HADH;ACAT2;ACOX3;CPT2;ACAA2;ACADS;ECI1;ACADVL;ACAT1;ADH5;ACAA1;HADHB;ACSL4;ECHS1;ACSL5;ACADM;HADHA;ALDH9A1;ECI2
KEGG_PENTOSE_PHOSPHATE_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	14	3.2026708562450903	4.371351483934266	4.322832369840768e-7	5.094766721598048e-6	55276;5214;5211;226;5236;2821;22934;25796;5634;6888;7086;5226;51071;2539	DERA;TALDO1;TKT;PRPS2;PGM2;GPI;RPIA;PFKL;PFKP;PGD;PGLS;PGM1;ALDOA;G6PD
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GLYCOLYSIS_GLUCONEOGENESIS	61	22	7.2356637863315	3.0404950602540444	7.263934200807398e-7	7.990327620888138e-6	10327;223;5106;5162;5160;55276;7167;3098;128;5223;2023;5315;5214;5211;2597;3945;130589;226;1738;1737;5236;2821	ENO1;PGAM1;PKM;GAPDH;LDHB;TPI1;PCK2;PGM2;PDHA1;AKR1A1;GPI;PFKL;PFKP;HK1;PDHB;ADH5;PGM1;ALDOA;ALDH9A1;DLAT;GALM;DLD
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	42	17	4.981932443047918	3.412330495111952	2.1240947676304245e-6	2.1904727291188753e-5	55276;3098;5236;2821;7358;5372;29926;29925;2584;2582;80146;64841;54187;1727;80896;55907;10007	GALK1;NPL;GALE;CMAS;PGM2;GMPPA;PMM1;GPI;GMPPB;GNPNAT1;NANS;HK1;PGM1;UGDH;CYB5R3;GNPDA1;UXS1
KEGG_PYRUVATE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PYRUVATE_METABOLISM	40	16	4.744697564807542	3.372185430463576	5.115050573767377e-6	4.9646079098330416e-5	223;5106;4190;5162;5160;5315;3945;1738;1737;4191;39;38;9380;97;2739;32	ACYP1;PKM;GLO1;LDHB;ACAT2;PCK2;PDHA1;GRHPR;ACAT1;ACACB;PDHB;MDH1;MDH2;ALDH9A1;DLAT;DLD
KEGG_N_GLYCAN_BIOSYNTHESIS	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_N_GLYCAN_BIOSYNTHESIS	46	16	5.4564021995286724	2.932335156924849	4.061878787897655e-5	3.7233888889061834e-4	199857;6185;3703;79087;8818;8813;144245;79053;85365;91869;1650;29929;4122;8703;29880;79796	ALG10B;DPM2;ALG14;ALG8;ALG2;DPM1;RFT1;ALG6;B4GALT3;DDOST;ALG9;ALG5;STT3A;RPN2;MAN2A2;ALG12
KEGG_BUTANOATE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_BUTANOATE_METABOLISM	34	13	4.03299293008641	3.2234125438254773	6.988044308253727e-5	6.068564794009815e-4	223;5162;5160;35;39;38;3033;3030;1892;18;7915;3155;56898	HADH;ABAT;ALDH5A1;ACAT2;PDHA1;ACADS;HMGCL;ACAT1;PDHB;BDH2;ECHS1;HADHA;ALDH9A1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	12	3.6771406127258444	3.263405255287332	1.1575929947726937e-4	9.550142206874723e-4	132158;1738;4129;6470;26227;6472;63826;29968;2593;5723;1757;1491	PHGDH;CTH;SHMT2;PSAT1;PSPH;SHMT1;SRR;MAOB;GLYCTK;GAMT;SARDH;DLD
KEGG_PROPANOATE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PROPANOATE_METABOLISM	32	12	3.795758051846033	3.1614238410596025	1.6553661375995343e-4	0.001300644822399634	223;3945;8802;8803;34;39;38;3030;1892;18;4329;32	ABAT;SUCLG1;LDHB;ACAT2;SUCLA2;ALDH6A1;ACAT1;ACACB;ECHS1;ACADM;HADHA;ALDH9A1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	12	4.03299293008641	2.975457732761979	3.212224016677645e-4	0.0024091680125082338	3945;2806;2805;1491;6723;191;1786;6611;58478;51074;10768;4357	AHCY;CTH;SRM;DNMT1;SMS;MPST;LDHB;AHCYL1;APIP;GOT2;GOT1;ENOPH1
KEGG_LYSINE_DEGRADATION	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_LYSINE_DEGRADATION	44	14	5.219167321288295	2.6824202287778447	3.58985856562688e-4	0.0025753333188192834	223;4967;39;38;3033;3030;1892;79723;5351;387893;6839;84444;7468;9739	SUV39H2;SUV39H1;NSD2;KMT5A;HADH;PLOD1;DOT1L;ACAT2;ACAT1;SETD1A;ECHS1;OGDH;HADHA;ALDH9A1
KEGG_GLUTATHIONE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GLUTATHIONE_METABOLISM	50	15	5.930871956009427	2.529139072847682	4.5611118010691065e-4	0.003037640132510044	2882;3418;5226;2539;6240;6241;6723;6611;4953;2954;2950;9446;4258;79017;2937	RRM2;RRM1;SRM;MGST2;SMS;GSTO1;GGCT;GSTP1;GPX7;GSTZ1;GSS;IDH2;PGD;ODC1;G6PD
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	10	3.0840534171249017	3.242485990830362	4.602485049257643e-4	0.003037640132510044	9953;126792;64131;64132;11285;26229;2132;9394;8509;2135	HS6ST1;EXTL2;XYLT1;EXT2;NDST2;XYLT2;B3GALT6;HS3ST3B1;B3GAT3;B4GALT7
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	9	2.6095836606441476	3.4488260084286577	5.211699362885902e-4	0.0033074245956775917	8310;3030;30;122970;10965;79966;6319;9200;11332	ACOT7;HACD1;ACOX3;ACOT4;SCD;ACAA1;ACOT2;HADHA;SCD5
KEGG_PEROXISOME	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PEROXISOME	78	20	9.252160251374706	2.161657327220241	5.579622310072363e-4	0.003409769189488666	8310;3418;51703;30;10455;2182;3295;6342;3155;10901;4598;10654;215;5826;11001;55711;25824;1384;10478;5827	PXMP2;PMVK;ABCD1;SLC25A17;DHRS4;FAR2;ACOX3;PRDX5;SLC27A2;IDH2;HMGCL;MVK;ACAA1;SCP2;ABCD4;ACSL4;ACSL5;HSD17B4;ECI2;CRAT
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	32	11	3.795758051846033	2.8979718543046356	7.370423783851221e-4	0.004343285444055184	8898;7167;3098;5214;5211;226;5372;3795;6652;29926;29925	SORD;TPI1;GMPPA;PMM1;GMPPB;PFKL;MTMR2;PFKP;HK1;KHK;ALDOA
KEGG_GALACTOSE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GALACTOSE_METABOLISM	25	9	2.9654359780047135	3.034966887417218	0.0015416255963673908	0.00847894078002065	2720;2548;55276;3098;5214;5211;5236;2584;2582	GALK1;GALE;PGM2;PFKL;PFKP;HK1;PGM1;GAA;GLB1
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	9	2.9654359780047135	3.034966887417218	0.0015416255963673908	0.00847894078002065	8818;284098;23556;94005;5281;8733;10026;54965;5279	PIGX;DPM2;GPAA1;PIGW;PIGN;PIGC;PIGK;PIGF;PIGS
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	30	10	3.5585231736056557	2.810154525386314	0.0016744769852459207	0.008727042737910872	158;5471;790;18;435;2806;56954;2805;7915;440	ABAT;ADSL;ASNS;ALDH5A1;PPAT;CAD;GOT2;ASL;GOT1;NIT2
KEGG_CARDIAC_MUSCLE_CONTRACTION	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_CARDIAC_MUSCLE_CONTRACTION	73	18	8.659073055773764	2.078744443436451	0.0016925173794736237	0.008727042737910872	1351;29796;1349;1347;1345;1340;1329;6548;1327;1337;7388;7386;7384;10975;27089;9167;9377;1537	COX5A;COX8A;UQCRC1;COX6C;UQCRQ;COX6A1;UQCRH;CYC1;COX6B1;COX7A2;UQCRFS1;COX7A2L;SLC9A1;COX5B;COX7B;UQCR10;COX4I1;UQCR11
KEGG_ARGININE_AND_PROLINE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ARGININE_AND_PROLINE_METABOLISM	54	14	6.405341712490181	2.185675741967133	0.0032866601622483227	0.016433300811241613	223;435;2806;2805;4129;2593;6723;6611;384;79814;5832;95;65263;4953	AGMAT;ACY1;SRM;SMS;MAOB;ALDH18A1;ARG2;PYCR3;GOT2;ASL;GOT1;GAMT;ODC1;ALDH9A1
KEGG_RIBOSOME	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	87	19	10.319717203456403	1.8411357235289638	0.005547264559978782	0.026920548599897027	11224;6124;6204;3921;6217;6155;6218;25873;6222;6193;51121;4736;51065;6187;6138;6173;6176;6175;6129	RPL26L1;RPLP0;RPSA;RPL4;RPS17;RPS10;RPL35;RPL15;RPL36A;RPL27;RPS27L;RPS2;RPS18;RPL7;RPS5;RPS16;RPLP1;RPL36;RPL10A
